port_name,closest_name,closest_distance
DONGES,MONTOIR,5027.151781848243
DONGGALA,POSO,138297.82216076663
DORDRECHT,ROTTERDAM,14726.51429553393
DOUGLAS,RAMSEY,19639.1160569649
DOVER HARBOR,FOLKESTONE HARBOUR,10020.871259905804
DRAG,KORSNES,22249.712670921646
DRY SPRUCE BAY,PORT VITA,14955.630672325544
DUBA,DUBA BULK PLANT TANKER TERMINAL,45629.45691669494
DUBAYY,ASH SHARIQAH,17974.531845514153
DUDINKA,UST-PORT,73624.82701867876
DUGI RAT,SPLIT,18345.902652584482
DULUTH,SUPERIOR,4493.141773427243
DUMAGUETE,BAIS,37375.592792127885
DUNKERQUE PORT EST,DUNKERQUE PORT OUEST,2976.879710500346
DUNKERQUE PORT OUEST,DUNKERQUE PORT EST,2976.879710500346
DUNKIRK,PORT COLBORNE,44996.60865749483
DUONG DONG,PHSAR REAM,51001.52790054471
DUPONT,JUNEAU,11485.381932158116
DUTCH HARBOR,UNALASKA,3706.466307548624
EAGLE HARBOR,COPPER HARBOR,22550.986994873503
EAST BREMERTON,BREMERTON,2500.8709793713856
EAST ZEIT TERMINAL,ZEIT BAY TERMINAL,1853.288751324935
EASTERN PART OF NIIGATA-KO,NIIGATA KO,19543.170943846977
EASTPORT,LUBEC,3706.4663075487406
EBOME MARINE TERMINAL,KOME KRIBI 1 MARINE TERMINAL,13104.18435257122
ECEABAT,CANAKKALE,4664.787584120353
ECKERNFORDE,KAPPELN,21380.456632354028
EDENTON,HERTFORD,20033.799152873762
EDGARTOWN,VINEYARD HAVEN,11157.399950487948
EGEGIK,NAKNEK,60951.26410808298
EKENAS,JUSSARO,18260.767094322393
EKUK,CLARKS POINT,3828.5538942641997
EL BOSQUE,CARTAGENA,1853.288751325241
EL ISMAILIYA,AS SUWAYS,73195.85635587093
EL JORF LASFAR,EL JADIDA,18376.319670567544
EL SEGUNDO,LOS ANGELES,25103.83804907718
EL TUR HARBOR,RAS SHUKHIER,34511.114797341994
EL-ADABIYA,AS SUWAYS,13716.72969718651
ELEVSIS,ASPROPIRGOS,4379.15462146759
ELIZABETH CITY,HERTFORD,25903.173928888755
ELLEFSEN HARBOR,SCOTIA BAY,17309.14112744515
ELLSWORTH,SORRENTO,20693.61661442482
ELLWOOD,SANTA BARBARA,21481.74385813093
ELSFLETH,BRAKE,11174.570648085462
ENDE,MAUMERE,66778.76860464244
ENSTED,ABENRA,3706.4663075489393
ERAWAN TERMINAL,TANTAWAN MARINE TERMINAL,109585.84770831668
ERIE,CONNEAUT,42376.69237950414
ESASI KO,MORI,47541.7356787132
ESCANABA,GLADSTONE,9619.667876999742
ESMERALDAS,TUMACO,135111.97559862374
ESPEVAER,MOSTERHAMN,19122.92047443014
ESPOIR MARINE TERMINAL,BAOBAB MARINE TERMINAL,14441.745205405789
ESSEX,NEW LONDON,25041.832192430607
EUREKA,SAMOA,1853.288751325483
EVERETT,MUKILTEO,8330.185784320083
EXCURSION INLET,HOONAH,33358.53035324442
EYEMOUTH,BERWICK-UPON-TWEED,12277.929224838987
FAIRPORT,ASHTABULA,43998.16804404468
FAKFAK,BULA,198888.33381536676
FALL RIVER,TIVERTON,8497.229935663863
FALMOUTH,WOODS HOLE,5573.062182495684
FALMOUTH,RIO BUENO,19423.697196854297
FALMOUTH HARBOUR,MEVAGISSEY,23976.100728598212
FAMAGUSTA,DHEKELIA,25831.714702962538
FATEH OIL TERMINAL,JAZIREH-YE SIRRI,37659.24274850245
FAUSKE,LAKSELV,16385.16453135076
FEODOSIYA,SUDAK,39978.15119374339
FIELDS LANDING,EUREKA,9682.23071876662
FIGEHOLM,OSKARSHAMN,11517.67977658154
FINNART OIL TERMINAL,GREENOCK,19242.092813161973
FINNSNES,GIBOSTAD,13759.960620485132
FISHGUARD,MILFORD HAVEN,33534.72311429657
FIUMICINO,ANZIO,48433.8943761868
FJALLBACKA,GREBBESTAD,9316.269200684852
FLEKKEFJORDEN,KIRKEHAMN,10759.291291838144
FORARI BAY,PORT VILA,25333.717504262397
FORT PIERCE,PALM BEACH,82189.36370672857
FOS,PORT SAINT LOUIS DU RHONE,6538.213584073589
FOWEY HARBOUR,PAR,5081.107270921371
FOYNES,TARBERT,17286.356471721643
FRAY BENTOS,CONCEPCION DEL URUGUAY,70853.05552240975
FREDERICIA,MIDDELFART,7704.112859522949
FREETOWN,PEPEL,22187.22291874044
FRENCHBORO,SWANS ISLAND,6904.835501718422
FRIDAY HARBOR,ORCAS,9620.517344518028
